"Product Id","Product Type","Product Nme",Sku,Količina,Cena
231,simple,"Hmelj AMARILLO T90 1kg",mp-ho-amar10,0,"25,99 €"
232,simple,"Hmelj AMARILLO T90 5kg",mp-ho-amar50,0,"226,00 €"
234,simple,"Hmelj CITRA T90 5kg",mp-ho-citr50,0,"220,00 €"
235,simple,"Hmelj COLUMBUS T90 5kg",mp-ho-colu50,0,"122,39 €"
239,simple,"Ječmenovi kosmiči 1kg",mp-ad-fb,0,"1,99 €"
241,simple,"Riževe luščine 1kg",mp-ad-rl,0,"2,49 €"
245,simple,"Hmelj SPALTER SELECT T90 100g (2018)",mp-ho-spse,0,"0,99 €"
250,simple,"Hmelj POLARIS T90 100g ",mp-ho-pola,0,"0,99 €"
251,simple,"Pivovarske kvasovke Mangrove Jack's - Bohemian Lager (M84)",mp-by-mjm84,0,"3,89 €"
252,simple,"Kvasovke Mangrove Jack's - Mead (M05)",mp-by-mjm05,0,"1,99 €"
254,simple,"Grainfather - rezervni del - Top Flow Pipe (10286)",mp-gf-sptfp,0,"15,99 €"
255,simple,"Grainfather - rezervni del - Silikonsko tesnilo (10369)",mp-gf-sptbpps,0,"3,99 €"
256,simple,"Celoviti ekstrakt - Mangrove Jack's (Craft Series) - Irish Red Ale",mp-ce-mjcsira,0,"23,99 €"
257,simple,"Celoviti ekstrakt - Mangrove Jack's (Craft Series) - Pink Grapefruit IPA",mp-ce-mjcspgipa,0,"24,99 €"
258,simple,"Celoviti ekstrakt - Mangrove Jack's (Craft Series) - Bavarian Wheat",mp-ce-mjcsbw,0,"20,99 €"
259,simple,"Celoviti ekstrakt - Mangrove Jack's (Craft Series) - Chocolate Brown Ale",mp-ce-mjcscba,0,"19,99 €"
260,simple,"Tekoči sladni ekstrakt (LME) - Mangrove Jack's - amber",mp-sl-lmemja,0,"11,99 €"
261,simple,"Tekoči sladni ekstrakt (LME) - Mangrove Jack's - temni",mp-sl-lmemjd,0,"14,99 €"
263,simple,"Pivovarske kvasovke Lallemand LalBrew® London, 11g, rok 07/2023",mp-by-lesb,0,"3,49 €"
271,simple,"Knjiga - Ted Goldammer 'The Brewer's Handbook'",mp-bo-tbh,0,"69,99 €"
272,simple,"Mlečna kislina (80%) 250ml",mp-ad-la0250,0,"9,29 €"
273,simple,"Vrečka za za drozganje (Mashing bag) 50l",mp-op-mb050,0,"39,99 €"
276,simple,"Grainfather - dodatek - Micro Pipework (za 10l. sarže)",mp-gf-mp,0,"31,99 €"
277,simple,"Knjiga - Byron Ford 'Moonshine Made Simple'",mp-bo-mms,0,"14,99 €"
279,simple,"Grainfather - Corny nastavek za steklenice (Pressure Bottle Filler v.2)",mp-gf-pbf,0,"13,99 €"
280,simple,"Tekoči sladni ekstrakt (LME) - Mangrove Jack's - Light 1.2kg",mp-sl-lmemjre,0,"9,90 €"
281,simple,"Pivovarske kvasovke Mangrove Jack's - Cider (M02)",mp-by-mjm02,0,"2,59 €"
283,simple,"Celoviti ekstrakt - Mangrove Jack's (Craft Series) - Single Hopped Simcoe IPA",mp-ce-mjcsshipas,0,"24,99 €"
285,simple,"Celoviti ekstrakt - Mangrove Jack's (Traditional Series) - Dubbel",mp-ce-mjtsd,0,"15,99 €"
286,simple,"Magnetna mešalna palčka ",mp-op-emm,0,"2,99 €"
288,simple,"Točilni aparat Lindr KONTAKT 70/K Greenline",mp-li-k70k,0,"919,92 €"
295,simple,"Celoviti ekstrakt - Mangrove Jack's (Cider) - Elderflower & Lime Cider",mp-ce-mjciel,0,"23,99 €"
296,simple,"Hmelj STYRIAN EUREKA T90 100g",mp-ho-steu,0,"3,89 €"
298,simple,"Hmelj STYRIAN GOLD T90 100g",mp-ho-stgl,0,"1,99 €"
308,simple,"Pipca (kovinska) z corny priključkom",mp-ck-pik-1,0,"49,99 €"
323,simple,"Grainfather Konični fermentor PRO",mp-gf-sscf,0,"589,90 €"
324,simple,"Mali MP Starter Kit (MJ TS Belgian Pale Ale)",mp-op-fmp11x,0,"29,99 €"
326,simple,"Limonina lupina 100g",mp-ad-lp,0,"3,95 €"
327,simple,"Mlečna kislina (80%) 1l",mp-ad-la1000,0,"18,99 €"
328,simple,"Slad CARA 120 MD™ 25kg",mp-ma-mdc12025,0,"36,73 €"
337,simple,"Samodejni sifon za pretakanje s polnilno cevko (ferrari)",mp-op-fas,0,"8,99 €"
344,simple,"Čistilo - PBW Five Star 120g",mp-cl-pbwfs120,0,"5,99 €"
345,simple,"Čistilo - PBW Five Star 450g",mp-cl-pbwfs450,0,"11,99 €"
347,simple,"Hmelj BRAVO T90 100g",mp-ho-brav,0,"0,99 €"
348,simple,"Hmelj WARRIOR T90 1kg",mp-ho-warr,0,"9,99 €"
350,simple,"Podaljševalne noge za stojalo za plastični konični vrelnik FastFerment 53l",mp-ff-ff53s,0,"49,99 €"
352,simple,"Čistilo in sterilizator - Star San HB 3,78l",mp-cl-sshb3780,0,"75,95 €"
357,simple,"Hmelj CASCADE T90 5kg",mp-ho-casc50,0,"160,50 €"
366,simple,"Celoviti ekstrakt - Mangrove Jack's (Traditional Series) - Lucky Goat Pale Ale",mp-ce-mjtslgpa,0,"16,99 €"
368,simple,"Still Spirits - bakreni kondenzator za žganjekuho",mp-ss-t500cc,0,"289,99 €"
369,simple,"Still Spirits - EZ filter sistem",mp-os-ezfs,0,"55,19 €"
375,simple,"Grainfather - rezervni del - Zgornja perforirana plošča (10273)",mp-gf-tpp,0,"28,92 €"
376,simple,"Grainfather - rezervni del - Spodnja perforirana plošča (10274)",mp-gf-bpp,0,"28,92 €"
381,simple,"Hmelj MAGNUM T90 1kg",mp-ho-magn10,0,"21,39 €"
383,simple,"Pivovarske kvasovke Fermentis safbrew BE-256, 500g",mp-by-fbe256500,0,"64,99 €"
386,simple,"Mangrove Jack's Sanitizer/razkužilo 100g",mp-cl-mjs,0,"3,69 €"
387,simple,"Grainfather - Hladilni povezovalni komplet (za Konični fermentor PRO)",mp-gf-cfpk,0,"45,63 €"
388,simple,"Pivovarske kvasovke Lallemand LalBrew® Diamond, 11g",mp-by-ldi,0,"3,79 €"
391,simple,"Grainfather - Pretok pod pritiskom (za Konični fermentor PRO)",mp-gf-cfpt,0,"71,99 €"
392,simple,"Grainfather - Conical coat (termično ogrinjalo za Grainfather Konični fermentor PRO)",mp-gf-cfc,0,"56,15 €"
397,simple,"Suhi sladni ekstrakt (DME) - Extra Dark 500g",mp-sl-dmemued500,0,"7,99 €"
399,simple,"Mlinček za drobljenje zrnja - Brewferm",mp-op-mcb,0,"59,99 €"
409,simple,"Pivovarske kvasovke Fermentis safALE K-97, 500g, rok 11/2022",mp-by-fk975001,0,"48,45 €"
413,simple,"Hmelj HALLERTAU BLANC T90 100g",mp-ho-habl,0,"3,64 €"
414,simple,"Hmelj Hallertau Herkules T90 100g (2018)",mp-ho-hahe,0,"1,99 €"
415,simple,"Hmelj SOUTHERN CROSS T90 100g (2017)",mp-ho-socr,0,"5,72 €"
417,simple,"Hmelj Loral T90 100g (2017)",mp-ho-lora,0,"6,22 €"
418,simple,"Hmelj Waimea T90 100g (2017)",mp-ho-waim,0,"0,99 €"
419,simple,"Hmelj Topaz T90 100g (2018)",mp-ho-topa,0,"6,92 €"
420,simple,"Točilni aparat Lindr - bajonet KeyKeg (Dispense Head)",mp-li-dhkk,0,"47,58 €"
422,simple,"Brew Monk™ B50 Wifi",mp-sy-bmb50,0,"599,99 €"
428,simple,"Hmelj Enigma T90 100g",mp-ho-enig,0,"6,99 €"
429,simple,"Celoviti ekstrakt - Mangrove Jack's (Traditional Series) - Crossman's Gold Lager",mp-ce-mjtscgl,0,"18,99 €"
437,simple,"Hmelj HALLERTAU TRADITION T90 100g",mp-ho-hatr,0,"0,99 €"
439,simple,"Mlinček za drobljenje zrnja - Mattmill Master",mp-mm-mma,0,"224,77 €"
446,simple,"Celoviti ekstrakt - Mangrove Jack's (Craft Series) - Juicy Session IPA",mp-ce-mjcsjsipa,0,"25,99 €"
448,simple,"Classic pretočni filter za pivo",mp-os-cbf,0,"29,99 €"
450,simple,"Zelišča za Gin - stil : London dry",mp-ss-bldg,0,"3,99 €"
452,simple,"Zelišča za Gin - stil : GIn z mentovini lističi",mp-ss-bmlg,0,"6,15 €"
454,simple,"Encimi glukoamilaze 12g",mp-ad-ega,0,"2,39 €"
456,simple,"Točilni aparat Lindr KONTAKT 40 GreenLine",mp-li-k40gl,0,"700,52 €"
457,simple,"Točilni aparat Lindr - bajonet za Party Keg",mp-li-dhpk,0,"48,25 €"
459,simple,"Hranilo za pivovarske kvasovke Lallemand Servomyces, 10g",mp-by-ls10,0,"8,99 €"
460,simple,"Grainfather Wortometer",mp-gf-wm,0,"19,99 €"
461,simple,"Nadgradnja za samostoječi sušilec ECO za 9 steklenic ",mp-st-ss9,0,"1,49 €"
465,simple,"Mlečna kislina (80%) 5l",mp-ad-la5000,0,"44,99 €"
466,simple,"Pivovarske kvasovke Lallemand LalBrew™ New England, 11 g",mp-by-lne,0,"4,90 €"
476,simple,"Vreča za Grainfather (Storage bag)",mp-gf-sb,0,"22,99 €"
478,simple,"Pivovarske kvasovke Lallemand LalBrew® Köln, 11g",mp-by-lk,0,"3,39 €"
480,simple,"Grainfather G70",mp-gf-gfg70,0,"1.656,76 €"
481,simple,"Slad Castle Malting Chocolate",mp-ma-cmch,0,"1,71 €"
482,simple,"Celoviti ekstrakt - Mangrove Jack's (Craft Series) - Raspberry Berliner Weisse",mp-ce-mjcsrbw,0,"27,99 €"
483,simple,"Celoviti ekstrakt - Mangrove Jack's (Traditional Series) - Northern Star Bitter",mp-ce-mjtsnsb,0,"15,99 €"
488,simple,"Still Spirits - kvasovke za Gin 20g",mp-by-ssg20,0,"4,49 €"
489,simple,"Visokotemperaturni encimi alfa-amilaze 12g",mp-ad-eaa,0,"2,99 €"
492,simple,"Pivovarske kvasovke Lallemand LalBrew™ Voss, 11g",mp-by-lkv,0,"4,59 €"
493,simple,"Čistilo in sterilizator - Star San HB 118ml",mp-cl-sshb118,0,"7,99 €"
494,simple,"Čistilo in sterilizator - Star San HB 236ml",mp-cl-sshb236,0,"16,99 €"
495,simple,"Čistilo in sterilizator - Star San HB 473ml",mp-cl-sshb473,0,"24,99 €"
498,simple,"Celoviti ekstrakt - Mangrove Jack's (Traditional Series) - Saison",mp-ce-mjtss,0,"14,99 €"
500,simple,"Slad CHÂTEAU DISTILLING® (Castle Malting) 25kg",mp-ma-cmd25,0,"38,90 €"
509,simple,"Brew Monk™ B70 WiFi",mp-sy-bmb70,0,"699,99 €"
510,simple,"Kalup/model za sir 500g",mp-si-m4c0500,0,"21,99 €"
511,simple,"Ročna sirarska harfa - mala",mp-si-rhm,0,"24,99 €"
512,simple,"Čistilo in sterilizator - SaniClean Five Star 236 ml ",mp-cl-scfs236,0,"8,99 €"
513,simple,"Motorni komplet MattMill Master 230V",mp-mm-mmamk,0,"301,00 €"
514,simple,"Motorni komplet MattMill Kompakt 230V",mp-mm-mkomk,0,"249,99 €"
